customer_id,company_name,signup_date,country,acquisition_channel,company_size_segment,initial_plan,payment_method,is_auto_renew
1,"Rodriguez, Figueroa and Sanchez",2023-07-29,United States,organic,medium,Starter,paypal,True
2,Doyle Ltd,2023-07-18,United States,organic,small,Starter,credit_card,True
3,"Mcclain, Miller and Henderson",2023-07-01,United States,paid_search,small,Starter,credit_card,False
4,Davis and Sons,2023-07-04,United States,paid_search,medium,Starter,credit_card,False
5,"Guzman, Hoffman and Baldwin",2023-07-18,Germany,partner,small,Starter,paypal,False
6,"Gardner, Robinson and Lawrence",2023-07-12,United States,organic,small,Growth,credit_card,False
7,Blake and Sons,2023-07-08,United States,organic,small,Growth,credit_card,True
8,"Henderson, Ramirez and Lewis",2023-07-22,Australia,paid_search,medium,Growth,credit_card,True
9,Garcia-James,2023-07-06,Germany,referral,small,Growth,credit_card,False
10,Abbott-Munoz,2023-07-25,Canada,content_marketing,small,Starter,credit_card,True
11,Blair PLC,2023-07-31,United States,organic,medium,Growth,credit_card,True
12,Dudley Group,2023-07-05,Ireland,organic,small,Growth,bank_transfer,True
13,Arnold Ltd,2023-07-13,United States,paid_search,small,Starter,credit_card,False
14,"Mcclure, Ward and Lee",2023-07-05,Ireland,organic,small,Enterprise,paypal,False
15,Williams and Sons,2023-07-17,United States,paid_search,medium,Enterprise,credit_card,False
16,Galloway-Wyatt,2023-07-25,Canada,content_marketing,small,Starter,credit_card,False
17,James Group,2023-07-29,United Kingdom,organic,small,Starter,credit_card,False
18,"Flowers, Martin and Kelly",2023-07-27,Ireland,partner,medium,Enterprise,credit_card,True
19,"Adams, Zuniga and Wong",2023-07-17,Australia,organic,medium,Growth,credit_card,False
20,"Reid, Ferguson and Sanchez",2023-07-26,United States,paid_search,enterprise,Enterprise,credit_card,False
21,Gray-Mayo,2023-07-03,France,content_marketing,small,Starter,credit_card,True
22,"Watts, Robinson and Nguyen",2023-07-17,Germany,organic,enterprise,Enterprise,bank_transfer,True
23,Perez Inc,2023-07-10,Ireland,organic,medium,Growth,paypal,True
24,Morales-Jones,2023-07-03,Netherlands,paid_search,small,Starter,credit_card,True
25,"Walter, Edwards and Rios",2023-07-08,United States,organic,small,Starter,credit_card,True
26,Wilkerson-Day,2023-07-18,Ireland,paid_search,small,Starter,credit_card,True
27,Baker and Sons,2023-07-07,United Kingdom,paid_search,small,Growth,paypal,False
28,"Hoffman, Baker and Richards",2023-07-21,United Kingdom,paid_search,small,Starter,bank_transfer,True
29,"Ross, Robinson and Bright",2023-07-07,United States,paid_search,enterprise,Growth,bank_transfer,True
30,"Snyder, Campos and Callahan",2023-07-26,United Kingdom,organic,small,Starter,bank_transfer,True
31,Burton Ltd,2023-07-30,France,organic,medium,Growth,bank_transfer,False
32,Carlson-Cruz,2023-07-06,Ireland,paid_search,medium,Growth,bank_transfer,False
33,"Ferrell, Rice and Maddox",2023-07-31,Australia,organic,small,Enterprise,credit_card,True
34,Frazier Inc,2023-07-02,Ireland,referral,medium,Enterprise,credit_card,True
35,"Dyer, Potter and Mack",2023-07-28,United States,referral,small,Starter,credit_card,True
36,Rodriguez-Graham,2023-07-28,Netherlands,paid_search,small,Starter,credit_card,True
37,Smith-Bowen,2023-07-14,United States,content_marketing,small,Starter,credit_card,True
38,"Baker, Mason and White",2023-07-09,United States,paid_search,medium,Growth,paypal,True
39,Harrell LLC,2023-07-15,United States,organic,small,Starter,paypal,True
40,"Romero, Gonzalez and Brooks",2023-07-12,Ireland,organic,medium,Growth,credit_card,True
41,Ryan PLC,2023-07-20,United States,paid_search,medium,Enterprise,bank_transfer,True
42,George Group,2023-07-04,Canada,paid_search,enterprise,Enterprise,credit_card,False
43,Rodriguez LLC,2023-07-20,United States,organic,enterprise,Growth,credit_card,True
44,Allen-Allen,2023-07-30,Netherlands,referral,small,Starter,credit_card,True
45,"Arroyo, Miller and Tucker",2023-07-21,United States,paid_search,medium,Starter,credit_card,False
46,Spence PLC,2023-07-31,Canada,paid_search,enterprise,Growth,credit_card,True
47,Anderson Group,2023-07-05,Australia,paid_search,medium,Enterprise,credit_card,True
48,"Martin, Rose and Obrien",2023-07-22,France,content_marketing,small,Starter,credit_card,True
49,Hickman Ltd,2023-07-05,Netherlands,partner,small,Starter,credit_card,True
50,"Harris, Collins and Carney",2023-07-06,Australia,organic,enterprise,Enterprise,credit_card,True
51,"Brooks, Lam and Hayes",2023-07-09,Australia,content_marketing,medium,Growth,bank_transfer,False
52,Walker LLC,2023-07-30,United States,paid_search,small,Growth,credit_card,True
53,Chapman and Sons,2023-07-11,United States,partner,small,Starter,credit_card,True
54,"Robinson, Jones and Welch",2023-07-27,United Kingdom,partner,small,Starter,credit_card,True
55,Jones Inc,2023-07-09,France,organic,small,Growth,credit_card,False
56,Jones-Young,2023-07-04,Australia,paid_search,small,Starter,credit_card,False
57,"Washington, Ryan and Cummings",2023-07-18,Canada,organic,small,Starter,credit_card,False
58,"Johnston, Sanchez and Kennedy",2023-07-30,United States,referral,medium,Enterprise,credit_card,False
59,Lee-Davis,2023-07-14,Canada,partner,small,Starter,credit_card,True
60,Gomez-Jenkins,2023-07-24,United States,paid_search,small,Growth,paypal,True
61,"Brown, Valdez and Lucas",2023-07-14,Germany,paid_search,enterprise,Enterprise,credit_card,True
62,Powell LLC,2023-07-26,United Kingdom,paid_search,medium,Growth,paypal,True
63,Wright and Sons,2023-07-11,United States,organic,enterprise,Enterprise,credit_card,True
64,"West, Henderson and Ramirez",2023-07-02,United States,organic,small,Growth,paypal,True
65,Baxter Inc,2023-07-07,United States,partner,small,Starter,credit_card,True
66,Morton-Chase,2023-07-28,United States,paid_search,medium,Growth,paypal,False
67,Williams PLC,2023-07-02,United States,paid_search,medium,Starter,ach,True
68,Novak and Sons,2023-07-18,United States,organic,small,Growth,credit_card,True
69,Russell Group,2023-07-27,Germany,content_marketing,small,Growth,paypal,True
70,Hancock Inc,2023-07-27,Netherlands,organic,enterprise,Enterprise,credit_card,False
71,Gray Group,2023-07-10,Germany,paid_search,medium,Enterprise,credit_card,True
72,House-Glover,2023-07-05,United States,content_marketing,small,Starter,credit_card,True
73,Henderson-Bernard,2023-07-14,Germany,paid_search,medium,Starter,credit_card,True
74,"Stanley, Tucker and Lee",2023-07-16,United States,content_marketing,small,Growth,bank_transfer,True
75,Novak PLC,2023-07-24,Netherlands,partner,small,Starter,ach,True
76,"Daniels, Adkins and Brown",2023-07-13,Ireland,content_marketing,medium,Enterprise,credit_card,True
77,"Woods, Calhoun and Schmidt",2023-07-20,United States,paid_search,small,Starter,credit_card,True
78,Yu Inc,2023-07-28,Canada,referral,small,Growth,credit_card,True
79,Jones Inc,2023-07-13,United States,paid_search,small,Starter,credit_card,False
80,"Hensley, Powell and David",2023-07-02,Australia,paid_search,small,Growth,credit_card,False
81,"Sanchez, Wheeler and Harvey",2023-07-31,Australia,referral,enterprise,Enterprise,paypal,False
82,Sandoval-Cunningham,2023-07-31,United States,referral,small,Growth,credit_card,True
83,Donovan-Harris,2023-07-04,United States,partner,small,Growth,credit_card,False
84,"Edwards, Baker and Anderson",2023-07-30,Germany,paid_search,medium,Starter,bank_transfer,True
85,"Evans, Stewart and Walton",2023-07-04,United States,referral,enterprise,Enterprise,paypal,True
86,Smith PLC,2023-07-02,Australia,referral,medium,Growth,paypal,True
87,"Ferrell, Jones and Lewis",2023-07-27,Ireland,paid_search,small,Starter,credit_card,False
88,Anderson-Bailey,2023-07-06,Netherlands,paid_search,small,Starter,credit_card,True
89,Suarez LLC,2023-07-14,Australia,organic,medium,Enterprise,credit_card,True
90,Moore-Bass,2023-07-15,United States,paid_search,medium,Growth,bank_transfer,True
91,"Turner, Riggs and Roman",2023-07-06,United Kingdom,referral,small,Starter,credit_card,False
92,"Smith, Montoya and Evans",2023-07-18,United States,organic,small,Starter,credit_card,False
93,"Garcia, Humphrey and Baker",2023-07-23,Canada,organic,small,Growth,credit_card,False
94,Newton and Sons,2023-07-08,United States,paid_search,small,Growth,credit_card,True
95,Campbell-Clark,2023-07-11,Ireland,paid_search,small,Starter,credit_card,False
96,Harris-Walters,2023-07-24,United States,paid_search,small,Starter,paypal,True
97,Wagner-King,2023-07-25,United States,organic,small,Growth,credit_card,False
98,Davis Group,2023-07-01,United States,organic,small,Starter,credit_card,True
99,Williams-Cook,2023-07-21,United States,organic,medium,Starter,credit_card,False
100,Walsh LLC,2023-07-06,Germany,content_marketing,medium,Growth,credit_card,True
101,Figueroa PLC,2023-07-19,United States,content_marketing,enterprise,Enterprise,credit_card,True
102,"Patterson, Smith and Jones",2023-07-04,Germany,organic,medium,Starter,credit_card,False
103,"Mckee, Gardner and Davenport",2023-07-30,Germany,referral,small,Starter,paypal,True
104,"Tran, Jordan and Williams",2023-07-24,United States,content_marketing,small,Growth,credit_card,True
105,Nolan-Flynn,2023-07-18,United States,referral,small,Growth,credit_card,True
106,Nolan and Sons,2023-07-23,Germany,paid_search,small,Starter,credit_card,True
107,"Wright, Garcia and Deleon",2023-07-19,United States,organic,small,Growth,credit_card,False
108,Dickson-Brady,2023-07-27,Germany,paid_search,medium,Enterprise,credit_card,False
109,Hancock and Sons,2023-07-15,Germany,partner,small,Starter,paypal,False
110,Johnson-Doyle,2023-07-03,France,referral,small,Growth,credit_card,True
111,Patton-Jenkins,2023-07-22,Germany,referral,small,Growth,credit_card,True
112,"Shields, Cochran and Adams",2023-07-02,France,content_marketing,medium,Growth,paypal,True
113,"Rodriguez, Brennan and Garrison",2023-07-14,United Kingdom,paid_search,medium,Starter,credit_card,False
114,Gonzalez Group,2023-07-28,United Kingdom,organic,medium,Growth,credit_card,True
115,Torres-Pope,2023-07-02,Canada,paid_search,small,Starter,credit_card,False
116,Walker Ltd,2023-07-01,France,paid_search,small,Starter,credit_card,True
117,Ross LLC,2023-07-21,United States,paid_search,medium,Growth,credit_card,False
118,Rasmussen LLC,2023-07-16,United States,organic,small,Starter,credit_card,False
119,May-Ross,2023-07-18,United States,referral,small,Enterprise,credit_card,True
120,"Rivera, Johnson and Wiley",2023-07-05,United States,partner,small,Starter,bank_transfer,True
121,White-Estes,2023-07-08,United States,paid_search,small,Growth,bank_transfer,False
122,Johnson-Carlson,2023-07-03,Germany,organic,small,Starter,paypal,True
123,Chandler-Edwards,2023-07-10,France,paid_search,small,Growth,credit_card,False
124,"Joyce, Wilson and Lam",2023-07-16,Germany,paid_search,medium,Enterprise,bank_transfer,True
125,Scott Ltd,2023-07-23,United Kingdom,paid_search,small,Starter,credit_card,True
126,Smith-Frost,2023-07-30,United Kingdom,content_marketing,small,Starter,credit_card,True
127,"Mcdaniel, Bentley and Mclaughlin",2023-07-02,Australia,referral,medium,Growth,ach,True
128,Diaz Inc,2023-07-30,United States,paid_search,small,Enterprise,bank_transfer,True
129,"Mccall, Hanson and Alvarado",2023-07-09,Germany,paid_search,small,Growth,credit_card,True
130,Cortez LLC,2023-07-13,Netherlands,referral,small,Growth,bank_transfer,False
131,"Parker, Ortiz and Powell",2023-07-08,Ireland,content_marketing,enterprise,Enterprise,credit_card,True
132,Spencer-Lee,2023-08-21,Canada,content_marketing,medium,Enterprise,credit_card,True
133,"Bentley, Byrd and Orr",2023-08-02,United States,organic,medium,Starter,credit_card,True
134,"Carroll, Sullivan and Bass",2023-08-06,Ireland,organic,small,Starter,credit_card,False
135,Mitchell-Jordan,2023-08-08,Canada,paid_search,small,Starter,credit_card,True
136,"Lawson, Morris and Ramos",2023-08-22,United States,organic,small,Starter,paypal,False
137,"Lewis, Kennedy and Santana",2023-08-23,France,content_marketing,small,Starter,credit_card,False
138,"Jackson, Miller and Robertson",2023-08-19,United Kingdom,organic,small,Growth,credit_card,True
139,"Harvey, Davis and Crane",2023-08-01,United States,referral,small,Starter,bank_transfer,True
140,Chambers and Sons,2023-08-29,United States,referral,small,Growth,credit_card,True
141,Hernandez Inc,2023-08-09,Australia,organic,enterprise,Enterprise,credit_card,True
142,Riggs PLC,2023-08-21,Australia,referral,medium,Growth,credit_card,False
143,Gibson Ltd,2023-08-11,United Kingdom,organic,small,Growth,credit_card,False
144,"Lee, Horton and Snyder",2023-08-30,Ireland,organic,medium,Starter,ach,True
145,Hernandez Ltd,2023-08-28,France,content_marketing,small,Starter,ach,True
146,Stafford Inc,2023-08-24,United States,content_marketing,small,Starter,ach,False
147,Robinson-Brock,2023-08-09,Germany,partner,medium,Growth,credit_card,True
148,"Holmes, Williams and Wright",2023-08-31,Canada,referral,small,Starter,credit_card,False
149,Bryant Group,2023-08-20,Germany,paid_search,small,Starter,bank_transfer,True
150,"Schmidt, Hansen and Stewart",2023-08-05,Netherlands,partner,small,Starter,credit_card,True
151,Salazar-Ball,2023-08-13,United States,content_marketing,small,Starter,credit_card,True
152,"Simmons, Meadows and Griffin",2023-08-05,France,referral,small,Starter,credit_card,False
153,Manning Group,2023-08-23,Germany,partner,medium,Growth,bank_transfer,True
154,Green-Wright,2023-08-18,Netherlands,content_marketing,small,Starter,credit_card,True
155,"Ramirez, Strickland and Washington",2023-08-27,United States,organic,enterprise,Enterprise,ach,False
156,Hill Inc,2023-08-08,Germany,referral,small,Starter,credit_card,False
157,"Mitchell, Nelson and Flores",2023-08-27,Australia,organic,enterprise,Enterprise,credit_card,True
158,"Miller, Hernandez and Reyes",2023-08-05,Netherlands,organic,medium,Growth,credit_card,False
159,Mccarthy Inc,2023-08-12,United States,partner,enterprise,Enterprise,bank_transfer,True
160,Russell-Daniels,2023-08-17,United States,paid_search,medium,Growth,credit_card,False
161,Brown-Wall,2023-08-08,United Kingdom,paid_search,small,Starter,credit_card,True
162,Stein-Silva,2023-08-31,Netherlands,partner,enterprise,Starter,credit_card,True
163,"Smith, Gilmore and Johnston",2023-08-15,United Kingdom,partner,small,Enterprise,credit_card,True
164,Smith-Bell,2023-08-18,United States,referral,small,Starter,credit_card,True
165,Castaneda-Ashley,2023-08-26,United States,referral,medium,Growth,credit_card,True
166,Medina-Navarro,2023-08-15,Australia,referral,medium,Enterprise,paypal,True
167,"Hurst, Freeman and Nelson",2023-08-11,United Kingdom,partner,medium,Growth,paypal,True
168,Johnson-Rogers,2023-08-03,France,organic,medium,Growth,credit_card,False
169,"Yates, Ramsey and Pittman",2023-08-18,United States,paid_search,small,Growth,credit_card,False
170,Hooper PLC,2023-08-24,Canada,paid_search,small,Starter,paypal,False
171,Meadows PLC,2023-08-16,United States,paid_search,small,Starter,credit_card,True
172,"Alvarado, Miller and Patterson",2023-08-26,United Kingdom,partner,small,Starter,paypal,True
173,White-Green,2023-08-20,Germany,partner,small,Starter,paypal,True
174,Lewis-Murphy,2023-08-11,United States,organic,enterprise,Enterprise,paypal,True
175,Ramirez-Bean,2023-08-01,Germany,organic,small,Starter,credit_card,False
176,King-Miller,2023-08-11,United Kingdom,paid_search,small,Starter,credit_card,True
177,Curry Inc,2023-08-22,United States,organic,medium,Growth,credit_card,True
178,Walker-Jones,2023-08-17,Germany,paid_search,small,Starter,credit_card,True
179,"Williams, Johnson and Wright",2023-08-02,Canada,organic,small,Starter,credit_card,True
180,Howell and Sons,2023-08-25,United States,organic,small,Enterprise,bank_transfer,False
181,Wells Inc,2023-08-23,Canada,organic,small,Starter,credit_card,True
